date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-02-10,0.00626,0.00635,0.00595,0.00631,3304346.37356864,0.7987220447284296,0.01,33043.463735686404
2017-02-11,0.00631,0.0064,0.00627,0.00638,935322.4501749,1.109350237717918,0.01,9353.224501749
2017-02-12,0.00638,0.00641,0.00627,0.00627,394667.02316645,-1.7241379310344802,0.01,3946.6702316644996
2017-02-13,0.00635,0.00635,0.0062,0.00624,4064556.7126455,-1.732283464566927,0.01,40645.567126455004
2017-02-14,0.00625,0.00638,0.00621,0.00622,3732586.65985723,-0.4800000000000082,0.01,37325.8665985723
2017-02-15,0.00628,0.00629,0.00593,0.0061,6668402.96218602,-2.866242038216554,0.01,66684.0296218602
2017-02-16,0.00601,0.00636,0.005,0.00593,27743846.73660316,-1.3311148086522353,0.01,277438.4673660316
2017-02-17,0.00589,0.00611,0.00546,0.00587,17541861.16363875,-0.3395585738539907,0.01,175418.61163638748
2017-02-18,0.0059,0.006,0.005,0.00554,11327977.29138772,-6.101694915254239,0.01,113279.7729138772
2017-02-19,0.00556,0.00591,0.00551,0.00591,1504903.37659945,6.294964028776988,0.01,15049.0337659945
2017-02-20,0.00591,0.00597,0.00565,0.00596,2998005.52623867,0.8460236886632774,0.01,29980.0552623867
2017-02-21,0.00596,0.00596,0.00571,0.00585,2163503.54869107,-1.8456375838926151,0.01,21635.035486910703
2017-02-22,0.00589,0.00595,0.00581,0.00583,3241254.95643253,-1.0186757215619722,0.01,32412.5495643253
2017-02-23,0.00582,0.00594,0.00574,0.00585,4768633.11031541,0.515463917525782,0.01,47686.3311031541
2017-02-24,0.00584,0.00595,0.0055,0.0056,3323913.32556931,-4.109589041095886,0.01,33239.1332556931
2017-02-25,0.00571,0.00583,0.0056,0.00563,918396.35667594,-1.4010507880910719,0.01,9183.9635667594
2017-02-26,0.00565,0.00573,0.00562,0.00566,468461.13350097,0.17699115044248603,0.01,4684.6113350097
2017-02-27,0.0057,0.0057,0.00556,0.00556,1400351.05692715,-2.4561403508771993,0.01,14003.5105692715
2017-02-28,0.00558,0.0057,0.00531,0.00557,6349357.05194869,-0.17921146953404288,0.01,63493.5705194869
2017-03-01,0.00555,0.00558,0.00525,0.00539,5703754.55116686,-2.8828828828828903,0.01,57037.545511668606
2017-03-02,0.00531,0.00635,0.00531,0.00606,24300660.96874801,14.124293785310748,0.01,243006.60968748012
2017-03-03,0.00604,0.00651,0.00592,0.00649,11877749.38042653,7.450331125827812,0.01,118777.4938042653
2017-03-04,0.00649,0.00668,0.0062,0.0062,4581328.2146564,-4.46841294298922,0.01,45813.28214656399
