date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-05-18,944.8,962.75,944.76,958.49,3939347,1.4489839119390406,953.76,3757191594.72
2017-05-19,962.84,968.92,959.72,959.84,3972089,-0.31157824768393505,964.32,3830364864.48
2017-05-22,964.0,971.38,962.9,970.67,2642217,0.6919087136929418,967.14,2555393749.38
2017-05-23,975.02,975.2,966.85,971.54,2415594,-0.3569157555742465,971.03,2345614241.82
2017-05-24,976.0,981.0,970.23,980.35,2463052,0.44569672131147775,975.62,2403002792.2400002
2017-05-25,984.85,999.0,982.11,993.38,4822032,0.8661217444280827,990.56,4776512017.92
2017-05-26,995.0,998.65,989.25,995.78,3469154,0.07839195979899223,993.95,3448165618.3
2017-05-30,996.51,1001.2,995.52,996.7,3263069,0.01906654223239652,998.36,3257717566.84
2017-05-31,1000.0,1000.12,982.16,994.62,3913115,-0.5379999999999995,991.14,3878444801.1
2017-06-01,998.59,998.99,991.37,995.95,2454841,-0.2643727655994939,995.18,2443008666.38
2017-06-02,998.99,1008.48,995.67,1006.73,3752328,0.7747825303556601,1002.08,3760132842.2400002
2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859,0.408049799946389,1008.36,2742597021.2400002
2017-06-06,1012.0,1016.5,1001.25,1003.0,3346432,-0.8893280632411068,1008.88,3376148316.16
2017-06-07,1005.95,1010.25,1002.0,1010.07,2823041,0.4095630995576326,1006.12,2840318010.92
2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857,-0.17686698417089536,1009.86,2795148070.02
2017-06-09,1012.5,1012.99,927.0,978.31,7647692,-3.3767901234567956,970.0,7418261240.0
2017-06-12,967.0,975.95,945.0,964.91,9447233,-0.21613236814891748,960.48,9073878351.84
2017-06-13,977.99,984.5,966.1,980.79,4580011,0.28630149592531157,975.3,4466884728.3
2017-06-14,988.59,990.34,966.71,976.47,3974900,-1.225988529117228,978.53,3889558897.0
2017-06-15,958.7,965.73,950.86,964.17,5373865,0.5705643058308035,958.3,5149774829.5
2017-06-16,996.0,999.75,982.0,987.71,11472662,-0.8323293172690727,990.88,11368031322.56
2017-06-19,1017.0,1017.0,989.9,995.17,5043408,-2.146509341199611,1003.45,5060807757.6
2017-06-20,998.0,1004.88,992.02,992.59,4076828,-0.5420841683366702,998.45,4070508916.6000004
2017-06-21,998.7,1002.72,992.65,1002.23,2922473,0.3534594973465478,997.68,2915692862.64
2017-06-22,1002.23,1006.96,997.2,1001.3,2253433,-0.09279307145067137,1002.08,2258120140.64
2017-06-23,1002.54,1004.62,998.02,1003.74,2879145,0.11969597223053897,1001.32,2882945471.4
2017-06-26,1008.5,1009.8,992.0,993.98,3386157,-1.439762022806146,1000.9,3389204541.2999997
2017-06-27,990.69,998.8,976.0,976.78,3782389,-1.4040719094772411,987.4,3734730898.6
