date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-02-10,11.02,11.48,10.75,11.43,142087.2704783,3.7205081669691484,11.12,1580010.4477186957
2017-02-11,11.44,13.79,11.125,11.52,88019.46359602,0.6993006993007,12.46,1096722.5164064092
2017-02-12,11.51,11.54,10.8,11.5,42186.46618783,-0.0868809730668965,11.17,471222.82731806114
2017-02-13,11.5,11.54,11.05,11.43,84309.46710655,-0.6086956521739155,11.3,952696.9783040151
2017-02-14,11.42,14.7,11.317,13.14,602000.16605847,15.061295971978991,13.01,7832022.160420695
2017-02-15,13.072,13.8,12.59,12.98,253370.48009325,-0.7037943696450333,13.2,3344490.3372309
2017-02-16,12.98001,13.03,12.49,12.9,186868.29602483,-0.6164093864334441,12.76,2384439.4572768304
2017-02-17,12.92,12.95,12.6,12.761,138522.1464422,-1.230650154798767,12.77,1768927.810066894
2017-02-18,12.77,12.93,12.7,12.89,79580.51522213,0.9397024275646124,12.82,1020222.2051477066
2017-02-19,12.87,12.95,12.69,12.9,58606.37189804,0.23310023310024194,12.82,751333.6877328728
2017-02-20,12.7813,12.95,10.0,12.47,123877.20996985,-2.4355894940264236,11.48,1422110.370453878
2017-02-21,12.43,12.89,12.2288,12.78238,182381.47066388,2.834915526950926,12.56,2290711.271538333
2017-02-22,12.83,12.99,12.601,12.75,114401.21904285,-0.6235385814497277,12.8,1464335.60374848
2017-02-23,12.74,13.8,12.601,13.269,197555.40919082,4.152276295133437,13.2,2607731.401318824
2017-02-24,13.2,13.33,12.56,13.113,241767.02795023,-0.6590909090909072,12.94,3128465.341675976
2017-02-25,13.18,13.87,13.00003,13.65,218049.41431403,3.566009104704102,13.44,2930584.128380563
2017-02-26,13.64,14.84,13.3,14.568,276412.44309594,6.803519061583571,14.07,3889123.0743598756
2017-02-27,14.567,16.32,14.25,15.66,434454.54639807,7.503260794947483,15.28,6638465.468962509
2017-02-28,15.66,16.94,15.01231,15.861,691038.94407238,1.2835249042145627,15.98,11042802.326276632
2017-03-01,15.62999,17.58,15.45281,17.435,451703.20880089,11.548375910669165,16.52,7462137.0093907025
2017-03-02,17.477,19.99,16.05,18.9871,848846.81127713,8.640498941465934,18.02,15296219.539213883
2017-03-03,19.27,21.49,16.75,19.68,949900.56115579,2.127659574468086,19.12,18162098.729298707
2017-03-04,19.36785,20.4,18.35273,18.65,309228.07672395,-3.7064000392402976,19.38,5992840.12691015
2017-03-05,18.65,54.89,15.51,19.4,246383.18342232,4.021447721179626,35.2,8672688.056465665
2017-03-06,19.39,20.24,18.8,19.68,302432.51954088,1.495616297060336,19.52,5903482.781437977
2017-03-07,19.68,19.78522,18.35001,18.96,311513.71769789,-3.658536585365848,19.07,5940566.596498762
2017-03-08,18.96,18.96,16.4,16.4,585871.41774004,-13.502109704641363,17.68,10358206.665643906
