date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-03-23,141.26,141.58,140.61,140.92,20346301,-0.24069092453631843,141.1,2870863071.1
2017-03-24,141.5,141.74,140.35,140.64,22395563,-0.6077738515901157,141.05,3158894161.15
2017-03-27,139.39,141.22,138.62,140.88,23575094,1.068943252744106,139.92,3298627152.4799995
2017-03-28,140.91,144.04,140.62,143.8,33374805,2.050954509970914,142.33,4750235995.650001
2017-03-29,143.68,144.49,143.19,144.12,29189955,0.30623608017817217,143.84,4198683127.2000003
2017-03-30,144.19,144.5,143.5,143.93,21207252,-0.18031763645189744,144.0,3053844288.0
2017-03-31,143.72,144.27,143.01,143.66,19661651,-0.0417478430281118,143.64,2824199549.64
2017-04-03,143.71,144.12,143.05,143.7,19985714,-0.006958458005719384,143.58,2869548816.1200004
2017-04-04,143.25,144.89,143.17,144.77,19891354,1.061082024432817,144.03,2864951716.62
2017-04-05,144.22,145.46,143.81,144.02,27717854,-0.13867702121757636,144.64,4009110402.5599995
2017-04-06,144.29,144.52,143.45,143.66,21149034,-0.4366206944348156,143.99,3045249405.6600003
2017-04-07,143.73,144.18,143.27,143.34,16672198,-0.27134209977039336,143.73,2396295018.54
2017-04-10,143.6,143.88,142.9,143.17,18933397,-0.2994428969359379,143.39,2714859795.83
2017-04-11,142.94,143.35,140.06,141.63,30379376,-0.9164684482999875,141.7,4304757579.2
2017-04-12,141.6,142.15,141.01,141.8,20350000,0.1412429378531194,141.58,2881153000.0000005
2017-04-13,141.91,142.38,141.05,141.05,17822880,-0.6060178986681596,141.72,2525858553.6
2017-04-17,141.48,141.88,140.87,141.83,16582094,0.24738478936953828,141.38,2344376449.72
2017-04-18,141.41,142.04,141.11,141.2,14697544,-0.14850434905594226,141.57,2080731304.08
2017-04-19,141.88,142.0,140.45,140.68,17328375,-0.845785170566668,141.22,2447113117.5
2017-04-20,141.22,142.92,141.16,142.44,23319562,0.8639002974082982,142.04,3312310586.48
2017-04-21,142.44,142.68,141.85,142.27,17320928,-0.11934849761302127,142.26,2464075217.2799997
