date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-03-09,3.772,3.9613,3.751203,3.866739,103470.83841914,2.511638388123015,3.86,399397.43629788037
2017-03-10,3.896,4.1,3.653003,3.8,379834.63961009,-2.4640657084188935,3.88,1473758.4016871492
2017-03-11,3.728,3.95,3.7,3.841,129824.76776791,3.0311158798283255,3.82,495930.61287341616
2017-03-12,3.843,4.0,3.7,3.837999,125673.11579757,-0.13013270882123426,3.85,483841.49582064454
2017-03-13,3.908,4.59,3.75422,4.34,824612.78385069,11.054247697031728,4.17,3438635.308657377
2017-03-14,4.314,4.43,4.0,4.125692,400778.39419747,-4.365044042651835,4.22,1691284.8235133232
2017-03-15,4.126098,4.45,3.93,4.308,370000.6131807,4.408571972842138,4.19,1550302.5692271332
2017-03-16,4.229001,4.75,4.16,4.2982,570621.24510862,1.6362966100031506,4.46,2544970.753184445
2017-03-17,4.35,4.79999999,3.88,4.12,461298.98171518,-5.28735632183907,4.34,2002037.580643881
2017-03-18,4.1001,4.67998997,3.69,4.073,653997.27511242,-0.6609594887929537,4.18,2733708.6099699154
2017-03-19,4.073,4.54999998,3.761,3.997,247576.69571594,-1.8659464767984408,4.16,1029919.0541783104
2017-03-20,3.997,4.99999999,3.78,4.18,148351.06326323,4.578433825369023,4.39,651261.1677255796
2017-03-21,4.19,4.23,3.93101,4.0173,179562.68834148,-4.121718377088323,4.08,732615.7684332385
2017-03-22,4.0173,4.25,3.62,4.0515,304262.71866995,0.8513180494361943,3.94,1198795.111559603
2017-03-23,3.89,4.78999999,3.85,4.104342,163671.40166461,5.510077120822618,4.32,707060.4551911153
2017-03-24,4.087703,4.5,3.9171,4.22649,513708.49364743,3.395231992148152,4.21,2162712.75825568
2017-03-25,4.11,5.151,3.93534,4.063,362478.9416799,-1.1435523114355375,4.54,1645654.3952267459
2017-03-26,4.099,4.45,3.82,4.1,153166.78731387,0.02439619419369226,4.14,634110.4994794218
2017-03-27,4.06,4.34999998,3.99474,4.08,193803.82024731,0.4926108374384351,4.17,808161.9304312827
2017-03-28,4.083,4.45,4.04905,4.20001,162403.15991382,2.865784962037708,4.25,690213.4296337351
2017-03-29,4.193,4.5,4.12,4.32,253055.13371,3.028857619842611,4.31,1090667.6262901
2017-03-30,4.309,9.9,4.2,7.46,5732110.21541159,73.12601531677882,7.05,40411377.01865171
2017-03-31,7.8,7.92,5.7,7.25,2873467.89891938,-7.05128205128205,6.81,19568316.391640976
2017-04-01,7.25,7.94999999,5.00000001,7.61,1447230.1340432,4.965517241379315,6.48,9378051.268599937
2017-04-02,7.598,9.19,6.74,8.23,2368125.79767066,8.317978415372473,7.96,18850281.349458452
2017-04-03,8.333,9.79,7.451,8.61,2329974.58977106,3.3241329653186034,8.62,20084380.963826533
2017-04-04,8.331,9.8,7.85,8.93,2171430.262792,7.1900132036970374,8.82,19152014.91782544
2017-04-05,8.93,14.0,8.05,12.315,4497432.04972571,37.90593505039194,11.02,49561701.18797733
2017-04-06,12.199,15.97999999,9.51,10.55,3552983.5798573,-13.517501434543808,12.74,45265010.807382
2017-04-07,10.622947,12.98999999,9.39,9.861,1927005.54872016,-7.1726518074504115,11.19,21563192.09017859
2017-04-08,9.840001,11.8,9.72,10.51,1064153.2973733,6.808932234864598,10.76,11450289.479736708
2017-04-09,10.806,11.29999999,8.56,9.17,1885109.26107694,-15.139737183046451,9.93,18719134.962494012
2017-04-10,9.306,10.4889,8.66,9.9251,1297227.80231576,6.652697184612093,9.57,12414470.068161823
2017-04-11,9.96,10.65,9.3,9.71,774157.78090126,-2.51004016064257,9.98,7726094.653394575
2017-04-12,9.719,12.7,9.55189,11.69,2832619.52274422,20.27986418355798,11.13,31527055.288143173
2017-04-13,11.805,11.999999,10.0,11.07694,964702.10079541,-6.167386700550608,11.0,10611723.10874951
2017-04-14,11.138,12.199,10.926,11.65,876913.82801856,4.596875561142041,11.56,10137123.851894554
2017-04-15,11.665004,12.38,10.46,11.848,872438.31939928,1.568760713669717,11.42,9963245.607539777
2017-04-16,11.81,12.49999993,11.33500001,11.7,285185.25706982,-0.9314140558848536,11.92,3399408.2642722544
2017-04-17,11.867,13.00000011,10.23,11.66,1662681.06797468,-1.7443330243532544,11.62,19320354.009865783
2017-04-18,11.27,12.37999999,9.6,11.521,1293267.40946339,2.227151730257331,10.99,14213008.830002656
2017-04-19,11.12,12.3,9.80000003,10.21,876713.07202625,-8.183453237410058,11.05,9687679.445890063
2017-04-20,10.608,11.99,10.0813,11.592,990398.74182867,9.27601809954751,11.04,10934002.109788517
2017-04-21,10.99,13.3,10.79,12.04,1749703.94604397,9.554140127388525,12.04,21066435.510369398
2017-04-22,12.851,16.0,11.626,13.772,2762984.97876872,7.166757450782035,13.81,38156822.55679602
2017-04-23,14.005493,17.361,13.21,16.689,3148603.36286944,19.16038942720546,15.29,48142145.41827374
2017-04-24,15.2999,16.7,13.91,16.2,1214398.90230951,5.8830449872221395,15.3,18580303.2053355
2017-04-25,15.07,16.833,13.52,14.56,1161060.09838174,-3.384207033842069,15.18,17624892.293434814
2017-04-26,15.1,17.283,14.08,14.87999,1534710.56517455,-1.4570198675496706,15.68,24064261.661936946
2017-04-27,14.615,16.49999999,13.26,16.022,1542335.93530576,9.627095449880247,14.88,22949958.71734971
2017-04-28,14.416765,16.069,12.9,14.75,785733.18495154,2.311440881501503,14.48,11377416.518098298
2017-04-29,13.773,17.031,13.06,15.089,866571.98912332,9.554926305089674,15.05,13041908.436305966
2017-04-30,15.123,17.509,14.722,16.2,883946.16103006,7.121602856576076,16.12,14249212.115804568
2017-05-01,15.2,17.68,14.4,15.42,1136010.1758849,1.4473684210526359,16.04,18221603.221193794
